"Strain (Query)","Locus Tag (Query)","Description (Query)","Inparalog (Query)","Strain (Hit)","Locus Tag (Hit)","Description (Hit)","Inparalog (Hit)"
Pseudomonas aeruginosa PAO1 (Reference)","PA1582","succinate dehydrogenase (D subunit)","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2196","succinate dehydrogenase, hydrophobic membrane anchor protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1585","2-oxoglutarate dehydrogenase (E1 subunit)","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2199","2-oxoglutarate dehydrogenase E1 component",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1586","dihydrolipoamide succinyltransferase (E2 subunit)","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2200","dihydrolipoamide succinyltransferase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1587","dihydrolipoamide dehydrogenase Lpd","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2201","dihydrolipoamide dehydrogenase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1589","succinyl-CoA synthetase alpha chain","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2203","succinyl-CoA synthetase subunit alpha",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1608","probable chemotaxis transducer","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0466","methyl-accepting chemotaxis protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1611","hybrid sensor kinase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2212","sensor histidine kinase/response regulator",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1616","conserved hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2215","phosphohistidine phosphatase SixA",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1621","probable hydrolase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2217","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1624","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2220","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1625","conserved hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2221","lipoprotein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1632","KdpF protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2241","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1633","potassium-transporting ATPase, A chain","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2242","potassium-transporting ATPase subunit A",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1635","potassium-transporting ATPase, C chain","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2244","potassium-transporting ATPase subunit C",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1637","two-component response regulator KdpE","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2246","KDP operon transcriptional regulatory protein kdpE",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1638","conserved hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2488","glutaminase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1641","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2247","lipoprotein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1648","probable oxidoreductase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2029","oxidoreductase zinc-binding protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1655","probable glutathione S-transferase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2032","glutathione S-transferase family protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1656","HsiA2","","Pseudomonas syringae pv. tomato DC3000","PSPTO_5434","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1658","HsiC2","","Pseudomonas syringae pv. tomato DC3000","PSPTO_5432","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1661","HsiH2","","Pseudomonas syringae pv. tomato DC3000","PSPTO_5426","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1662","clpV2","","Pseudomonas syringae pv. tomato DC3000","PSPTO_5425","clpB protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1663","Sfa2","","Pseudomonas syringae pv. tomato DC3000","PSPTO_5424","sigma-54 dependent transcriptional regulator",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1664","OrfX","","Pseudomonas syringae pv. tomato DC3000","PSPTO_5423","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1666","Lip2","","Pseudomonas syringae pv. tomato DC3000","PSPTO_5421","lipoprotein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1669","IcmF2","","Pseudomonas syringae pv. tomato DC3000","PSPTO_5418","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1674","GTP cyclohydrolase I precursor","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2035","GTP cyclohydrolase I",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1675","conserved hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2037","Smr domain protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1679","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2041","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1681","chorismate synthase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2043","chorismate synthase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1682","probable MFS metabolite transporter","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2044","transporter",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1684","1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase MtnD","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2046","ARD/ARD' family protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1693","translocation protein in type III secretion","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1395","type III secretion protein HrcR",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1695","translocation protein in type III secretion","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0892","autotransporter",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1697","ATP synthase in type III secretion system","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1400","type III secretion cytoplasmic ATPase HrcN",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1723","type III export protein PscJ","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1384","type III secretion protein HrcJ",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1726","periplasmic beta-glucosidase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_4290","beta-glucosidase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1730","conserved hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2059","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1731","conserved hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2060","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1732","conserved hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2061","transglutaminase-like domain protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1741","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2034","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1742","Glutamine amidotransferase class I","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2063","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1750","phospho-2-dehydro-3-deoxyheptonate aldolase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2275","phospho-2-dehydro-3-deoxyheptonate aldolase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1766","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2283","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1769","conserved hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2291","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1771","EstX","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2293","esterase/lipase/thioesterase family protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1774","CrfX protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2296","crfX protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1775","conserved cytoplasmic membrane protein, CmpX protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2297","membrane protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1777","Major porin and structural outer membrane porin OprF precursor","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2299","outer membrane porin OprF",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1778","uroporphyrin-III C-methyltransferase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2300","uroporphyrin-III C-methyltransferase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1781","assimilatory nitrite reductase large subunit","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2302","assimilatory nitrate reductase electron transfer subunit domain protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1785","NasT","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2306","response regulator NasT",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1786","NasS","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2307","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1787","aconitate hydratase 2","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3752","aconitate hydratase 2",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1790","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3750","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1792","conserved hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3745","UDP-2,3-diacylglucosamine hydrolase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1795","cysteinyl-tRNA synthetase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3742","cysteinyl-tRNA synthetase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1802","ClpX","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3725","ATP-dependent Clp protease ATP-binding subunit ClpX",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1803","Lon protease","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3724","ATP-dependent protease La",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1804","DNA-binding protein HU","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3723","DNA-binding protein HU-beta",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1805","peptidyl-prolyl cis-trans isomerase D","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3722","peptidyl-prolyl cis-trans isomerase D",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1807","NppD","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3720","ABC transporter ATP-binding protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1808","NppC","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3719","ABC transporter permease",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1810","NppA2","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3717","ABC transporter substrate-binding protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1811","NppA1","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3716","ABC transporter substrate-binding protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1812","membrane-bound lytic murein transglycosylase D precursor","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3715","membrane-bound lytic murein transglycosylase D",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1814","KerV","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3713","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1815","ribonuclease H","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3712","ribonuclease HI",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1821","probable enoyl-CoA hydratase/isomerase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2719","enoyl-CoA hydratase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1824","conserved hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2721","membrane protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1829","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2724","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1831","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2726","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1837","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2729","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1840","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3116","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1843","methionine synthase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2732","5-methyltetrahydrofolate--homocysteine methyltransferase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1846","cis/trans isomerase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2733","esterified fatty acid cis/trans isomerase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1847","NfuA","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2735","yhgI protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1848","probable major facilitator superfamily (MFS) transporter","","Pseudomonas syringae pv. tomato DC3000","PSPTO_4774","membrane protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1850","probable transcriptional regulator","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1856","AraC family transcriptional regulator",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1852","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3145","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1865","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3272","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1866","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3036","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1868","secretion protein XqhA","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3307","general secretion pathway protein D",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1873","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3701","cation transporter",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1890","probable glutathione S-transferase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_4777","glutathione S-transferase family protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1898","quorum-sensing control repressor","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3863","transcriptional regulator PsyR",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1902","phenazine biosynthesis protein PhzD","PA4213 | phenazine biosynthesis protein PhzD","Pseudomonas syringae pv. tomato DC3000","PSPTO_2981","isochorismatase family protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1910","ferric-mycobactin receptor, FemA","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3462","TonB-dependent siderophore receptor",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1922","probable TonB-dependent receptor","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0784","TonB-dependent siderophore receptor",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1927","5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_4179","5- methyltetrahydropteroyltriglutamate/homocysteine S-methyltransferase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1932","probable hydroxylase molybdopterin-containing subunit","","Pseudomonas syringae pv. tomato DC3000","PSPTO_4651","oxidoreductase, molybdopterin-binding subunit",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1933","probable hydroxylase large subunit","","Pseudomonas syringae pv. tomato DC3000","PSPTO_4650","aldehyde oxidase and xanthine dehydrogenase family protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1940","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3994","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1943","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2799","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1948","membrane protein component of ABC ribose transporter","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2369","ribose ABC transporter permease",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1949","ribose operon repressor RbsR","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2370","ribose operon repressor",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1957","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3143","nicotinamide-nucleotide adenylyltransferase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1958","probable transporter","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3142","nicotinamide mononucleotide transporter PnuC",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1960","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3140","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA1962","FMN-dependent NADH-azoreductase 2, AzoR2","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3136","azoreductase",""
